,work_year,experience_level,employment_type,job_title,salary,employee_residence,remote_ratio,company_location,company_size
4175,2024,SE,FT,Machine Learning Engineer,195500,US,In person,US,M
4176,2024,SE,FT,Machine Learning Engineer,132600,US,In person,US,M
4177,2024,MI,FT,Data Engineer,167000,US,In person,US,M
4178,2024,MI,FT,Data Engineer,121000,US,In person,US,M
4179,2024,SE,FT,Data Architect,195000,US,In person,US,M
4180,2024,SE,FT,Data Architect,64200,US,In person,US,M
4181,2024,SE,FT,Data Scientist,185400,US,Fully remote,US,M
4182,2024,SE,FT,Data Scientist,92700,US,Fully remote,US,M
4183,2024,SE,FT,Research Scientist,195500,US,Fully remote,US,M
4184,2024,SE,FT,Research Scientist,141300,US,Fully remote,US,M
4185,2024,SE,FT,Data Science,110000,US,In person,US,M
4186,2024,SE,FT,Data Science,70000,US,In person,US,M
4187,2024,MI,FT,Applied Scientist,222200,US,In person,US,L
4188,2024,MI,FT,Applied Scientist,136000,US,In person,US,L
4190,2024,SE,FT,Data Analyst,150000,US,In person,US,M
4191,2024,SE,FT,Data Scientist,220800,US,In person,US,M
4192,2024,SE,FT,Data Scientist,124800,US,In person,US,M
